uid,language,model,prompting_technique,category,path,text_sha1,rewrite_provider,rewrite_model,n_rewrites,edit_ratio_min,raidar_score,error_raidar,judge_model,judge_label,judge_p_ai,judge_confidence,judge_brief_reason,error_judge
00303,hindi,mistralai_Mistral_7B_Instruct_v0_2,few-shot,ख_ल,articles_today/hindi_mistralai_Mistral_7B_Instruct_v0_2_few-shot_ख_ल_00303.txt,7be3fbf87162e66ff030db155bce24c3efb948e4,openai,gpt-4o-mini,1,0.28252032520325204,0.717479674796748,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Repetitive phrases, incoherent structure, nonsensical player names, and grammatically awkward Hindi indicate AI generation with poor training data.",
00306,hindi,mistralai_Mistral_7B_Instruct_v0_2,few-shot,व_द_श,articles_today/hindi_mistralai_Mistral_7B_Instruct_v0_2_few-shot_व_द_श_00306.txt,8b641f96006479110841c2d44b7e2c31f13a5a51,openai,gpt-4o-mini,1,0.4184445973847213,0.5815554026152787,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Repetitive structure, nonsensical content, grammatical errors, and illogical flow indicate AI generation with poor Hindi language model.",
00317,tamil,mistralai_Mistral_7B_Instruct_v0_2,few-shot,தம_ழகம,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_few-shot_தம_ழகம_00317.txt,acdb3b8d3e1ee28c02f8c70be317f13582e5280c,openai,gpt-4o-mini,1,0.6322751322751323,0.3677248677248677,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Repetitive nonsensical phrases, grammatical errors, and incoherent content structure indicate AI generation with poor Tamil language model.",
00377,tamil,mistralai_Mistral_7B_Instruct_v0_2,chain-of-thought,ச_ன_ம_ர_ல_ம,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_ச_ன_ம_ர_ல_ம_00377.txt,9c510af3f7358de2243e614cdbc958dd25c862a9,openai,gpt-4o-mini,1,0.6894218942189422,0.3105781057810578,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Extreme repetition of phrases, incoherent structure, nonsensical content, and typical AI text generation degradation patterns.",
00467,hindi,mistralai_Mistral_7B_Instruct_v0_2,few-shot,मन_र_जन,articles_today/hindi_mistralai_Mistral_7B_Instruct_v0_2_few-shot_मन_र_जन_00467.txt,163abe670405fbf97f90edc6dbd7360eb89cc0d6,openai,gpt-4o-mini,1,0.5096481271282634,0.49035187287173665,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Repetitive phrasing, awkward grammar, unnatural Hindi syntax, and incoherent narrative structure typical of machine translation.",
00484,telugu,gpt_4o,chain-of-thought,eenadu_cinema,articles_today/telugu_gpt_4o_chain-of-thought_eenadu_cinema_00484.txt,083650bc33b05af94545d1ecfc4dafc71ba35816,openai,gpt-4o-mini,1,0.03765227021040975,0.9623477297895903,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic promotional content, repetitive phrasing, vague details, formulaic structure typical of AI-generated Telugu news articles.",
00489,tamil,mistralai_Mistral_7B_Instruct_v0_2,zero-shot,ம_வட_ட_மச_ல,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_ம_வட_ட_மச_ல_00489.txt,f9eb2b6ef0080e31ce43e73687c39523f1f6ddbb,openai,gpt-4o-mini,1,0.41544715447154473,0.5845528455284552,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Repetitive nonsensical phrases, grammatically broken Tamil, lacks coherent meaning, typical AI text generation errors.",
00520,bangla,mistralai_Mistral_7B_Instruct_v0_2,few-shot,entertainment,articles_today/bangla_mistralai_Mistral_7B_Instruct_v0_2_few-shot_entertainment_00520.txt,f2bfb0a60f51b39cb48d3913c16ded5436577611,openai,gpt-4o-mini,1,0.36126224156692055,0.6387377584330794,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Repetitive unnatural phrasing, semantic incoherence, and nonsensical word choices indicate AI generation with poor Bangla language model.",
00586,telugu,gpt_4o,few-shot,eenadu_national,articles_today/telugu_gpt_4o_few-shot_eenadu_national_00586.txt,95478159f03f3b6abc0b9f8f8fc5ba422c230bc2,openai,gpt-4o-mini,1,0.1747159090909091,0.8252840909090909,,claude-sonnet-4-5-20250929,human,0.15,medium,"Natural Telugu phrasing, contextually appropriate vocabulary, typical news article structure without AI repetition patterns.",
00591,telugu,gpt_4o,zero-shot,eenadu_cinema,articles_today/telugu_gpt_4o_zero-shot_eenadu_cinema_00591.txt,245d2ec99ffc0e1de5c08fdeeed7121a5766f74a,openai,gpt-4o-mini,1,0.20340425531914894,0.796595744680851,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Formulaic structure, generic quotes, perfect grammar, lacks specific details typical of authentic Telugu journalism.",
00597,hindi,mistralai_Mistral_7B_Instruct_v0_2,chain-of-thought,व_ज_ञ_न,articles_today/hindi_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_व_ज_ञ_न_00597.txt,02ea13b8beb298ec0dd8f856f76704e287cd00c3,openai,gpt-4o-mini,1,0.5586924219910847,0.4413075780089153,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Repetitive phrasing, unnatural Hindi syntax, mixed scripts (Arabic 'و'), incoherent structure, and nonsensical technical terminology indicate AI generation.",
00625,bangla,gpt_4o,few-shot,bangladesh,articles_today/bangla_gpt_4o_few-shot_bangladesh_00625.txt,74f4d8526175ffa6ad4b3a106dce5f2d843d8100,openai,gpt-4o-mini,1,0.13155893536121674,0.8684410646387832,,claude-sonnet-4-5-20250929,human,0.15,medium,"Natural Bangla news structure with authentic local details, typical journalistic style, and culturally appropriate content flow.",
00669,hindi,mistralai_Mistral_7B_Instruct_v0_2,zero-shot,स_शल,articles_today/hindi_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_स_शल_00669.txt,1dfe287a776c7bc30da5d3e6ff2f7d95f3497b8f,openai,gpt-4o-mini,1,0.351,0.649,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Repetitive phrasing, grammatically awkward Hindi, incoherent narrative structure, and nonsensical context suggest AI generation.",
00703,tamil,mistralai_Mistral_7B_Instruct_v0_2,chain-of-thought,ச_ன_ம_ர_ல_ம,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_ச_ன_ம_ர_ல_ம_00703.txt,435e9c75d91edc5ef91611b07dee66a3c51d1536,openai,gpt-4o-mini,1,0.19734459867229934,0.8026554013277006,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Repetitive phrases, grammatical errors, incoherent structure, and nonsensical content indicate AI generation with poor Tamil language model.",
00712,telugu,gpt_4o,chain-of-thought,eenadu_national,articles_today/telugu_gpt_4o_chain-of-thought_eenadu_national_00712.txt,a5013f7b3dd71502ff8272c55da8ed1d71670859,openai,gpt-4o-mini,1,0.1657142857142857,0.8342857142857143,,claude-sonnet-4-5-20250929,human,0.15,medium,"Natural Telugu writing style with authentic journalistic structure, typical human phrasing patterns, and contextually appropriate vocabulary usage.",
00724,telugu,mistralai_Mistral_7B_Instruct_v0_2,chain-of-thought,eenadu_sports,articles_today/telugu_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_eenadu_sports_00724.txt,26ff0aa684c0b7fe97d0f5e9e39ddfa6d9e03238,openai,gpt-4o-mini,1,0.006548175865294668,0.9934518241347053,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Repetitive nonsensical phrases, grammatically broken Telugu, unnatural structure, and meaningless content patterns indicate AI generation.",
00725,hindi,gpt_4o,zero-shot,मन_र_जन,articles_today/hindi_gpt_4o_zero-shot_मन_र_जन_00725.txt,0e00dd3bbd46aa0cea2adcb06fa5b9778772db43,openai,gpt-4o-mini,1,0.1550680786686838,0.8449319213313162,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic content, repetitive phrasing, lacks specific details, formulaic structure typical of AI-generated Hindi news articles.",
00775,tamil,mistralai_Mistral_7B_Instruct_v0_2,few-shot,தம_ழகம,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_few-shot_தம_ழகம_00775.txt,1e4e48ae2d96dbfc4b14edb776070cddf611917e,openai,gpt-4o-mini,1,0.6749854904236796,0.3250145095763204,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Excessive repetition of identical phrases, incoherent structure, and nonsensical content indicate AI generation failure.",
00814,telugu,mistralai_Mistral_7B_Instruct_v0_2,zero-shot,eenadu_cinema,articles_today/telugu_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_eenadu_cinema_00814.txt,ca2cc36be250248b024ee3d0142a5ef9b70b511c,openai,gpt-4o-mini,1,0.7627291242362525,0.2372708757637475,,claude-sonnet-4-5-20250929,ai,0.98,medium,"Repetitive nonsensical phrases, broken Telugu grammar, corrupted characters, and meaningless word patterns indicate AI generation failure.",
00849,hindi,gpt_4o,zero-shot,व_ज_ञ_न,articles_today/hindi_gpt_4o_zero-shot_व_ज_ञ_न_00849.txt,01ef0ad015ecd26ea8001933bd32a622aa7740cb,openai,gpt-4o-mini,1,0.18895845190665908,0.811041548093341,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic commentary, repetitive structure, lacks specific match details, formulaic transitions, and standardized news template pattern.",
00895,tamil,mistralai_Mistral_7B_Instruct_v0_2,zero-shot,தம_ழகம,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_தம_ழகம_00895.txt,85a1c87bd9fffc94a6a8746bfd079e9172a5b248,openai,gpt-4o-mini,1,0.6370588235294118,0.3629411764705882,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Repetitive gibberish text with broken Tamil grammar, nonsensical phrases, and HTML artifacts indicating machine generation.",
00908,tamil,gpt_4o,chain-of-thought,இந_த_ய,articles_today/tamil_gpt_4o_chain-of-thought_இந_த_ய_00908.txt,94d32d9527f249ea501859d6e6d272091ab3885d,openai,gpt-4o-mini,1,0.05615141955835962,0.9438485804416403,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic narrative structure, repetitive phrasing, vague details, and formulaic conclusion typical of AI-generated Tamil news.",
00953,tamil,mistralai_Mistral_7B_Instruct_v0_2,zero-shot,க_ற_றம,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_க_ற_றம_00953.txt,ef145e17d1f15756cd60895c2b0aa018b6341ccb,openai,gpt-4o-mini,1,0.6758869512928443,0.32411304870715574,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Repetitive phrases, incoherent structure, nonsensical content, and grammatical errors indicate AI generation with poor Tamil language model.",
00981,hindi,gpt_4o,zero-shot,ख_ल,articles_today/hindi_gpt_4o_zero-shot_ख_ल_00981.txt,4dfae977389048e4b71c27fe307b860dc2ba3fb6,openai,gpt-4o-mini,1,0.14583333333333334,0.8541666666666666,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic structure, repetitive phrasing, lacks specific details, formulaic transitions, and overly balanced presentation typical of AI.",
01052,tamil,gpt_4o,zero-shot,ம_வட_ட_மச_ல,articles_today/tamil_gpt_4o_zero-shot_ம_வட_ட_மச_ல_01052.txt,78a2fa8bd69d650069a9dfeb75bdce1221a08067,openai,gpt-4o-mini,1,0.1351010101010101,0.8648989898989898,,claude-sonnet-4-5-20250929,human,0.15,medium,"Natural Tamil news style with local context, typical journalistic structure, and regional cultural references.",
01123,hindi,mistralai_Mistral_7B_Instruct_v0_2,few-shot,भ_रत,articles_today/hindi_mistralai_Mistral_7B_Instruct_v0_2_few-shot_भ_रत_01123.txt,db973757f9386fdf28eb85ae9ffcb5b50588088d,openai,gpt-4o-mini,1,0.5348148148148149,0.46518518518518515,,claude-sonnet-4-5-20250929,ai,0.98,medium,"Extreme repetition of identical sentences, nonsensical age '4,35 years', grammatical errors, and mechanical looping pattern indicate AI generation.",
01144,hindi,mistralai_Mistral_7B_Instruct_v0_2,few-shot,ख_ल,articles_today/hindi_mistralai_Mistral_7B_Instruct_v0_2_few-shot_ख_ल_01144.txt,8354335d4138c18ec59f02a9338989919bb5e4b7,openai,gpt-4o-mini,1,0.36382536382536385,0.6361746361746361,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Multiple grammatical errors, repetitive phrasing, incoherent match details, and unnatural Hindi sentence structure indicate AI generation.",
01155,telugu,mistralai_Mistral_7B_Instruct_v0_2,chain-of-thought,eenadu_cinema,articles_today/telugu_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_eenadu_cinema_01155.txt,853b21dd250aee85080818b546756d0f65b28f15,openai,gpt-4o-mini,1,0.6906187624750499,0.30938123752495006,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Severe repetitive text corruption, nonsensical Telugu words, and unnatural phrase patterns indicate AI generation failure.",
01192,tamil,mistralai_Mistral_7B_Instruct_v0_2,few-shot,தம_ழகம,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_few-shot_தம_ழகம_01192.txt,c94315e634752709ed0f00ddeeac5ef27fa78ec4,openai,gpt-4o-mini,1,0.6220011702750147,0.37799882972498533,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Excessive repetition of identical phrases, incoherent content, lacks meaningful narrative structure typical of AI text generation errors.",
01225,telugu,mistralai_Mistral_7B_Instruct_v0_2,chain-of-thought,eenadu_cinema,articles_today/telugu_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_eenadu_cinema_01225.txt,06ad04b94dd91ad7d4819adf5f839613f02f898d,openai,gpt-4o-mini,1,0.7257918552036199,0.2742081447963801,,claude-sonnet-4-5-20250929,ai,0.98,medium,"Severe repetitive loops, nonsensical Telugu text, and broken grammar indicate AI generation failure or corruption.",
01240,bangla,gpt_4o,few-shot,sports,articles_today/bangla_gpt_4o_few-shot_sports_01240.txt,7b1540cda919c543b92a4a3c4ded4269d64d65e7,openai,gpt-4o-mini,1,0.12796208530805686,0.8720379146919431,,claude-sonnet-4-5-20250929,human,0.25,medium,"Natural Bangla flow, contextual sports reporting style, authentic quotes, and typical human sports journalism structure.",
01302,telugu,mistralai_Mistral_7B_Instruct_v0_2,chain-of-thought,eenadu_sports,articles_today/telugu_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_eenadu_sports_01302.txt,f995677d504a71e62943282f264aad2a0ce7722f,openai,gpt-4o-mini,1,0.7997847147470398,0.20021528525296017,,claude-sonnet-4-5-20250929,ai,0.95,medium,Severe repetitive text pattern and nonsensical Telugu content indicates AI generation malfunction or corruption.,
01325,bangla,mistralai_Mistral_7B_Instruct_v0_2,few-shot,bangladesh,articles_today/bangla_mistralai_Mistral_7B_Instruct_v0_2_few-shot_bangladesh_01325.txt,e2e330b5f6e013fc9e7ef1d6cadd0422ce7ad170,openai,gpt-4o-mini,1,0.37518248175182484,0.6248175182481752,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Repetitive nonsensical phrases, incoherent structure, meaningless word combinations indicate AI-generated gibberish text.",
01359,tamil,gpt_4o,zero-shot,இந_த_ய,articles_today/tamil_gpt_4o_zero-shot_இந_த_ய_01359.txt,32166ee39e41cfa20266809b4c30d238401f6bf0,openai,gpt-4o-mini,1,0.06454816285998013,0.9354518371400199,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic political coverage, repetitive phrasing, lacks specific details, formulaic structure typical of AI-generated Tamil news.",
01363,tamil,mistralai_Mistral_7B_Instruct_v0_2,chain-of-thought,தம_ழகம,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_தம_ழகம_01363.txt,20ffe20bfa7b2bfce937bb54bdb60f2bd5d42601,openai,gpt-4o-mini,1,0.21502748930971288,0.7849725106902872,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Repetitive phrases, nonsensical structure, corrupted text, and meaningless bullet points indicate AI generation failure or corruption.",
01424,telugu,gpt_4o,chain-of-thought,eenadu_national,articles_today/telugu_gpt_4o_chain-of-thought_eenadu_national_01424.txt,091b7db69797faba3b6b0cb8c5eab7f5feff8a70,openai,gpt-4o-mini,1,0.18694765465669613,0.8130523453433038,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic structure, vague content, repetitive phrasing, lacks specific details, formulaic news template typical of AI generation",
01453,hindi,gpt_4o,zero-shot,भ_रत,articles_today/hindi_gpt_4o_zero-shot_भ_रत_01453.txt,0dd233cfcd0b507472d87e5528700e96794bf0de,openai,gpt-4o-mini,1,0.12178517397881997,0.8782148260211801,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Formulaic structure, repetitive phrasing, generic narrative flow, and overly formal Hindi style typical of AI translation/generation.",
01530,tamil,gpt_4o,zero-shot,தம_ழகம,articles_today/tamil_gpt_4o_zero-shot_தம_ழகம_01530.txt,942083482a76f661f0a74bcbfba3797c65047562,openai,gpt-4o-mini,1,0.19718309859154928,0.8028169014084507,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic phrasing, formulaic structure, vague details, moralistic conclusion typical of AI-generated Tamil news content.",
01680,hindi,gpt_4o,chain-of-thought,व_ज_ञ_न,articles_today/hindi_gpt_4o_chain-of-thought_व_ज_ञ_न_01680.txt,09b9c2abdb64aa736733a068aa0c4545a8f0fbd3,openai,gpt-4o-mini,1,0.0784743533537922,0.9215256466462078,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Highly structured format, repetitive phrasing, generic expert quotes, formulaic section organization, lacks specific personal details or authentic narrative voice.",
01721,hindi,gpt_4o,zero-shot,मन_र_जन,articles_today/hindi_gpt_4o_zero-shot_मन_र_जन_01721.txt,6493f631e5ec6cc9f2694db62a4a8510669b5fa6,openai,gpt-4o-mini,1,0.18684516880093133,0.8131548311990686,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Formulaic structure, generic observations, lacks specific examples or data, overly balanced tone typical of AI-generated content.",
01745,hindi,gpt_4o,few-shot,व_ज_ञ_न,articles_today/hindi_gpt_4o_few-shot_व_ज_ञ_न_01745.txt,66d0ad92c272449d72873ffbd6315df3c7ed7af6,openai,gpt-4o-mini,1,0.12133605998636673,0.8786639400136332,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic structure, vague plant name, repetitive environmental messaging, lacks specific details or credible sources typical of human journalism.",
01834,tamil,gpt_4o,chain-of-thought,தம_ழகம,articles_today/tamil_gpt_4o_chain-of-thought_தம_ழகம_01834.txt,73dd75f886c3dbde009c34734d37a164429e1bfe,openai,gpt-4o-mini,1,0.0834403080872914,0.9165596919127086,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Repetitive phrasing, formulaic structure, and overly formal political rhetoric typical of AI-generated Tamil news content.",
01844,bangla,mistralai_Mistral_7B_Instruct_v0_2,chain-of-thought,bangladesh,articles_today/bangla_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_bangladesh_01844.txt,319e6300c815133c16039e5e13a3705c123833af,openai,gpt-4o-mini,1,0.5757575757575758,0.4242424242424242,,claude-sonnet-4-5-20250929,ai,0.98,medium,"Repetitive nonsensical phrases, broken grammar, incoherent structure, and meaningless content indicate AI generation with poor Bangla language model.",
01861,tamil,gpt_4o,zero-shot,ஸ_ட_ட_எக_ஸ_ப_ரஸ,articles_today/tamil_gpt_4o_zero-shot_ஸ_ட_ட_எக_ஸ_ப_ரஸ_01861.txt,80793305c00ede81f1beb6591104a946696ffddb,openai,gpt-4o-mini,1,0.1511737089201878,0.8488262910798122,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic political rhetoric, repetitive phrasing, lacks specific details, formulaic structure typical of AI-generated Tamil news.",
01890,tamil,mistralai_Mistral_7B_Instruct_v0_2,few-shot,இந_த_ய,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_few-shot_இந_த_ய_01890.txt,a875df10a26eca4f1962323a04c7cbc68d8cdfd6,openai,gpt-4o-mini,1,0.67787913340935,0.32212086659065,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Excessive repetition of identical phrases, incoherent narrative structure, and nonsensical Tamil grammar indicate AI generation failure.",
01940,bangla,mistralai_Mistral_7B_Instruct_v0_2,chain-of-thought,bangladesh,articles_today/bangla_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_bangladesh_01940.txt,ca5b9cb8dc5d660cd3ac51a83cd359347fbbb361,openai,gpt-4o-mini,1,0.4577804583835947,0.5422195416164053,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Repetitive phrases, incoherent structure, nonsensical content, grammatical errors, and meaningless word patterns indicate AI generation failure.",
02006,bangla,gpt_4o,few-shot,bangladesh,articles_today/bangla_gpt_4o_few-shot_bangladesh_02006.txt,5345e5594508e5fff8a2d8447220bd3b6a0e4898,openai,gpt-4o-mini,1,0.148,0.852,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic structure, formulaic quotes, lack of specific details like dates, names, or exact locations typical of AI-generated Bangla news.",
02048,hindi,gpt_4o,chain-of-thought,व_द_श,articles_today/hindi_gpt_4o_chain-of-thought_व_द_श_02048.txt,44fc34837bafcc9f40f6cc55849b5df2a4123e9d,openai,gpt-4o-mini,1,0.07702888583218707,0.922971114167813,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic content, vague details, repetitive structure, no specific dates/names, formulaic expert quotes, placeholder-like 'Avadhi 5,39' phrase.",
02076,telugu,gpt_4o,few-shot,eenadu_crime,articles_today/telugu_gpt_4o_few-shot_eenadu_crime_02076.txt,c6200bafd7e94007aeb9445f23171e85ab439482,openai,gpt-4o-mini,1,0.2223816355810617,0.7776183644189383,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic structure, repetitive phrasing, lacks specific details like names, dates, amounts typical of real Telugu news.",
02077,hindi,mistralai_Mistral_7B_Instruct_v0_2,chain-of-thought,भ_रत,articles_today/hindi_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_भ_रत_02077.txt,6e0f0b9df88c2c962333f1fb2ab02fe955aaa066,openai,gpt-4o-mini,1,0.568646080760095,0.43135391923990496,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Repetitive structure, unnatural Hindi grammar, transliteration errors, and outline format indicate machine translation from English.",
02174,bangla,gpt_4o,zero-shot,bangladesh,articles_today/bangla_gpt_4o_zero-shot_bangladesh_02174.txt,06db22c707d8bd404c4a47d42033c540556ee5af,openai,gpt-4o-mini,1,0.19863013698630136,0.8013698630136986,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Formulaic structure, generic expert quotes, statistical claims without sources, overly balanced tone typical of AI-generated Bangla news.",
02184,bangla,mistralai_Mistral_7B_Instruct_v0_2,chain-of-thought,bangladesh,articles_today/bangla_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_bangladesh_02184.txt,25ef5d39ca9805f956e4b95971d3b28245f751ff,openai,gpt-4o-mini,1,0.6302931596091205,0.36970684039087953,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Severe grammatical errors, nonsensical phrases, unnatural structure, and template-like formatting indicate AI generation with poor Bangla language model.",
02207,bangla,gpt_4o,zero-shot,bangladesh,articles_today/bangla_gpt_4o_zero-shot_bangladesh_02207.txt,13c1c592fe5375bf83595a5aa71721983aa8a809,openai,gpt-4o-mini,1,0.0946058091286307,0.9053941908713693,,claude-sonnet-4-5-20250929,human,0.15,medium,"Natural Bangla news structure with authentic local details, typical journalistic flow, and culturally appropriate religious event coverage.",
02238,bangla,gpt_4o,chain-of-thought,bangladesh,articles_today/bangla_gpt_4o_chain-of-thought_bangladesh_02238.txt,30303a4358444e6dc4a7212a999e7798bf4c5707,openai,gpt-4o-mini,1,0.12164813603662525,0.8783518639633747,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic placeholder text, repetitive structure, formulaic quotes, lacks specific details typical of authentic crime reporting.",
